Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.08_16.53.55",7.074812,43.618017,63.0,4G,LTE,-110.0,-8.0,0.0,-,-55,0.0,0.0,169.0,169.0,I,LOG START,,,,2Paug8
"
2022.08.08_16.53.56",7.074812,43.618017,63.0,4G,LTE,-110.0,-8.0,0.0,-,-55,0.0,0.0,169.0,169.0,I,PERIODIC,,,,2Paug8
"
2022.08.08_16.53.56",7.07492,43.618008,63.0,4G,LTE,-110.0,-8.0,0.0,-,-55,0.0,0.0,170.0,170.0,I,,,,,2Paug8
"
2022.08.08_16.53.57",7.07492,43.618008,63.0,4G,LTE,-110.0,-8.0,0.0,-,-55,0.0,0.0,170.0,170.0,I,PERIODIC,,,,2Paug8
"
2022.08.08_16.53.58",7.07492,43.618008,63.0,4G,LTE,-107.0,-9.0,0.0,-,-107,0.0,0.0,170.0,170.0,I,PERIODIC,,,,2Paug8
"
2022.08.08_16.53.59",7.07492,43.618008,63.0,4G,LTE,-107.0,-9.0,0.0,-,-107,52.0,15.0,170.0,170.0,D,PERIODIC,,,,2Paug8
"
2022.08.08_16.54.00",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,-,-,1.0,1.0,170.0,170.0,D,PERIODIC,-107.0,-9.0,8.0,2Paug8
"
2022.08.08_16.54.00",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,-,-,1.0,1.0,170.0,170.0,D,,-107.0,-9.0,8.0,2Paug8
"
2022.08.08_16.54.01",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,6,-,106.0,39.0,170.0,170.0,D,PERIODIC,-108.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.02",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,6,-,8.0,0.0,170.0,170.0,D,PERIODIC,-108.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.03",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,6,-,0.0,0.0,170.0,170.0,D,PERIODIC,-108.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.04",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,6,-,0.0,0.0,170.0,170.0,I,PERIODIC,-108.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.05",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.06",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.07",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.08",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.09",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.10",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.11",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.12",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,8,-,0.0,0.0,170.0,170.0,I,PERIODIC,-109.0,-8.0,8.0,2Paug8
"
2022.08.08_16.54.13",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,10,-,6.0,29.0,170.0,170.0,D,PERIODIC,-108.0,-7.0,8.0,2Paug8
"
2022.08.08_16.54.14",7.07492,43.618008,63.0,5G,5G,-103.0,-3.0,14.0,10,-,10.0,10.0,170.0,170.0,D,PERIODIC,-108.0,-7.0,8.0,2Paug8
