Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.19_15.34.04",7.069257,43.615296,4G,LTE,-108.0,-12.0,8.0,10.0,-109,4.0,6.0,182.0,182.0,D,LOG START,,,,P19aug
"
2022.08.19_15.34.04",7.069257,43.615296,4G,LTE,-108.0,-12.0,8.0,10.0,-109,0.0,0.0,182.0,182.0,D,PERIODIC,,,,P19aug
"
2022.08.19_15.34.04",7.069172999999999,43.615285,4G,LTE,-108.0,-12.0,8.0,10.0,-109,0.0,0.0,184.0,184.0,D,,,,,P19aug
"
2022.08.19_15.34.05",7.069172999999999,43.615285,4G,LTE,-108.0,-10.0,11.0,12.0,-109,0.0,0.0,184.0,184.0,D,PERIODIC,,,,P19aug
"
2022.08.19_15.34.06",7.069172999999999,43.615285,4G,LTE,-104.0,-10.0,11.0,9.0,-105,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.07",7.069172999999999,43.615285,4G,LTE,-104.0,-10.0,11.0,9.0,-107,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.08",7.069172999999999,43.615285,4G,LTE,-108.0,-12.0,11.0,11.0,-107,0.0,0.0,184.0,184.0,D,PERIODIC,,,,P19aug
"
2022.08.19_15.34.09",7.069172999999999,43.615285,4G,LTE,-108.0,-12.0,11.0,11.0,-111,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.10",7.069172999999999,43.615285,4G,LTE,-108.0,-12.0,11.0,11.0,-111,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.11",7.069172999999999,43.615285,4G,LTE,-107.0,-7.0,10.0,2.0,-107,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.12",7.069172999999999,43.615285,4G,LTE,-107.0,-7.0,10.0,2.0,-111,0.0,0.0,184.0,184.0,I,PERIODIC,,,,P19aug
"
2022.08.19_15.34.13",7.069172999999999,43.615285,4G,LTE,-117.0,-10.0,3.0,8.0,-59,11.0,47.0,184.0,184.0,D,PERIODIC,,,,P19aug
"
2022.08.19_15.34.14",7.069172999999999,43.615285,5G,5G,-120.0,-7.0,2.0,8.0,-,10.0,16.0,184.0,184.0,D,PERIODIC,-117.0,-10.0,3.0,P19aug
"
2022.08.19_15.34.14",7.069172999999999,43.615285,5G,5G,-120.0,-7.0,2.0,8.0,-,10.0,16.0,184.0,184.0,D,,-117.0,-10.0,3.0,P19aug
"
2022.08.19_15.34.15",7.069172999999999,43.615285,5G,5G,-122.0,-8.0,0.0,11.0,-,5.0,0.0,184.0,184.0,D,PERIODIC,-111.0,-10.0,9.0,P19aug
"
2022.08.19_15.34.16",7.069172999999999,43.615285,5G,5G,-122.0,-8.0,0.0,11.0,-,0.0,0.0,184.0,184.0,I,PERIODIC,-111.0,-10.0,9.0,P19aug
"
2022.08.19_15.34.17",7.069172999999999,43.615285,5G,5G,-116.0,-6.0,1.0,12.0,-,0.0,0.0,184.0,184.0,I,PERIODIC,-114.0,-11.0,10.0,P19aug
"
2022.08.19_15.34.18",7.069172999999999,43.615285,5G,5G,-116.0,-6.0,1.0,12.0,-,0.0,0.0,184.0,184.0,I,PERIODIC,-114.0,-11.0,10.0,P19aug
"
2022.08.19_15.34.19",7.069172999999999,43.615285,5G,5G,-116.0,-6.0,1.0,14.0,-,0.0,0.0,184.0,184.0,I,PERIODIC,-109.0,-10.0,7.0,P19aug
"
2022.08.19_15.34.20",7.069172999999999,43.615285,5G,5G,-118.0,-5.0,2.0,14.0,-,60.0,11.0,184.0,184.0,D,PERIODIC,-109.0,-10.0,7.0,P19aug
"
2022.08.19_15.34.20",7.069246000000001,43.61521,5G,5G,-118.0,-5.0,2.0,14.0,-,60.0,11.0,175.0,175.0,D,,-109.0,-10.0,7.0,P19aug
"
2022.08.19_15.34.21",7.069246000000001,43.61521,5G,5G,-121.0,-8.0,0.0,10.0,-,63.0,29.0,175.0,175.0,D,PERIODIC,-113.0,-11.0,11.0,P19aug
"
2022.08.19_15.34.22",7.069246000000001,43.61521,5G,5G,-121.0,-8.0,0.0,10.0,-,7.0,4.0,175.0,175.0,D,PERIODIC,-113.0,-11.0,11.0,P19aug
"
2022.08.19_15.34.23",7.069246000000001,43.61521,5G,5G,-121.0,-8.0,0.0,8.0,-,2.0,5.0,175.0,175.0,D,PERIODIC,-114.0,-12.0,7.0,P19aug
"
2022.08.19_15.34.24",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,8.0,-,48.0,10.0,175.0,175.0,D,PERIODIC,-114.0,-12.0,7.0,P19aug
"
2022.08.19_15.34.25",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,14.0,-,0.0,0.0,175.0,175.0,D,PERIODIC,-113.0,-12.0,12.0,P19aug
"
2022.08.19_15.34.26",7.069246000000001,43.61521,5G,5G,-119.0,-7.0,0.0,14.0,-,0.0,0.0,175.0,175.0,D,PERIODIC,-113.0,-12.0,12.0,P19aug
"
2022.08.19_15.34.27",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,14.0,-,0.0,0.0,175.0,175.0,I,PERIODIC,-113.0,-12.0,9.0,P19aug
"
2022.08.19_15.34.28",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,14.0,-,24.0,6.0,175.0,175.0,D,PERIODIC,-113.0,-12.0,9.0,P19aug
"
2022.08.19_15.34.29",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,11.0,-,5.0,61.0,175.0,175.0,D,PERIODIC,-113.0,-10.0,5.0,P19aug
"
2022.08.19_15.34.30",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,11.0,-,0.0,4.0,175.0,175.0,D,PERIODIC,-113.0,-10.0,5.0,P19aug
"
2022.08.19_15.34.31",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,11.0,-,67.0,40.0,175.0,175.0,D,PERIODIC,-113.0,-10.0,5.0,P19aug
"
2022.08.19_15.34.32",7.069246000000001,43.61521,5G,5G,-118.0,-6.0,0.0,11.0,-,0.0,0.0,175.0,175.0,D,PERIODIC,-112.0,-12.0,3.0,P19aug
"
2022.08.19_15.34.33",7.069246000000001,43.61521,5G,5G,-116.0,-6.0,3.0,11.0,-,0.0,0.0,175.0,175.0,D,PERIODIC,-112.0,-12.0,3.0,P19aug
"
2022.08.19_15.34.34",7.069246000000001,43.61521,5G,5G,-116.0,-6.0,3.0,10.0,-,0.0,0.0,175.0,175.0,I,PERIODIC,-111.0,-13.0,7.0,P19aug
"
2022.08.19_15.34.35",7.069246000000001,43.61521,5G,5G,-116.0,-6.0,3.0,10.0,-,1.0,1.0,175.0,175.0,D,PERIODIC,-111.0,-13.0,7.0,P19aug
"
2022.08.19_15.34.36",7.069246000000001,43.61521,5G,5G,-116.0,-6.0,3.0,14.0,-,6.0,45.0,175.0,175.0,D,PERIODIC,-111.0,-12.0,10.0,P19aug
"
2022.08.19_15.34.37",7.069246000000001,43.61521,5G,5G,-107.0,-3.0,9.0,14.0,-,2132.0,609.0,175.0,175.0,D,PERIODIC,-111.0,-12.0,10.0,P19aug
"
2022.08.19_15.34.38",7.069246000000001,43.61521,5G,5G,-108.0,-3.0,9.0,9.0,-,254.0,99.0,175.0,175.0,D,PERIODIC,-113.0,-11.0,5.0,P19aug
"
2022.08.19_15.34.39",7.069246000000001,43.61521,5G,5G,-108.0,-3.0,9.0,9.0,-,32.0,37.0,175.0,175.0,D,PERIODIC,-113.0,-11.0,5.0,P19aug
"
2022.08.19_15.34.40",7.069246000000001,43.61521,5G,5G,-105.0,-3.0,10.0,9.0,-,294.0,80.0,175.0,175.0,D,PERIODIC,-112.0,-11.0,8.0,P19aug
"
2022.08.19_15.34.41",7.069246000000001,43.61521,5G,5G,-105.0,-3.0,10.0,9.0,-,305.0,200.0,175.0,175.0,D,PERIODIC,-112.0,-11.0,8.0,P19aug
"
2022.08.19_15.34.42",7.069246000000001,43.61521,5G,5G,-105.0,-3.0,10.0,10.0,-,620.0,167.0,175.0,175.0,D,PERIODIC,-111.0,-12.0,9.0,P19aug
"
2022.08.19_15.34.43",7.069246000000001,43.61521,5G,5G,-104.0,-3.0,12.0,10.0,-,271.0,181.0,175.0,175.0,D,PERIODIC,-111.0,-12.0,9.0,P19aug
"
2022.08.19_15.34.44",7.069246000000001,43.61521,5G,5G,-104.0,-3.0,13.0,10.0,-,38.0,73.0,175.0,175.0,D,PERIODIC,-113.0,-11.0,7.0,P19aug
"
2022.08.19_15.34.45",7.069338,43.615134999999995,5G,5G,-105.0,-3.0,11.0,10.0,-,29.0,34.0,174.0,174.0,D,,-113.0,-11.0,7.0,P19aug
"
2022.08.19_15.34.45",7.069338,43.615134999999995,5G,5G,-105.0,-3.0,11.0,10.0,-,29.0,34.0,174.0,174.0,D,PERIODIC,-113.0,-11.0,7.0,P19aug
"
2022.08.19_15.34.46",7.069338,43.615134999999995,5G,5G,-105.0,-3.0,11.0,10.0,-,88.0,59.0,174.0,174.0,D,PERIODIC,-112.0,-12.0,8.0,P19aug
"
2022.08.19_15.34.47",7.069338,43.615134999999995,5G,5G,-105.0,-3.0,11.0,10.0,-,30.0,23.0,174.0,174.0,D,PERIODIC,-112.0,-12.0,8.0,P19aug
"
2022.08.19_15.34.48",7.069338,43.615134999999995,5G,5G,-104.0,-3.0,13.0,10.0,-,29.0,31.0,174.0,174.0,D,PERIODIC,-111.0,-12.0,10.0,P19aug
"
2022.08.19_15.34.49",7.069338,43.615134999999995,5G,5G,-104.0,-3.0,13.0,10.0,-,28.0,40.0,174.0,174.0,D,PERIODIC,-111.0,-12.0,10.0,P19aug
"
2022.08.19_15.34.50",7.069469000000001,43.615145,5G,5G,-106.0,-3.0,13.0,10.0,-,19.0,21.0,173.0,173.0,D,,-111.0,-12.0,10.0,P19aug
"
2022.08.19_15.34.50",7.069469000000001,43.615145,5G,5G,-106.0,-3.0,13.0,11.0,-,19.0,21.0,173.0,173.0,D,PERIODIC,-110.0,-10.0,7.0,P19aug
"
2022.08.19_15.34.51",7.069469000000001,43.615145,5G,5G,-107.0,-3.0,12.0,11.0,-,184.0,226.0,173.0,173.0,D,PERIODIC,-110.0,-10.0,7.0,P19aug
"
2022.08.19_15.34.52",7.069469000000001,43.615145,5G,5G,-108.0,-3.0,10.0,9.0,-,30.0,31.0,173.0,173.0,D,PERIODIC,-111.0,-13.0,4.0,P19aug
"
2022.08.19_15.34.53",7.069469000000001,43.615145,5G,5G,-109.0,-3.0,11.0,9.0,-,87.0,79.0,173.0,173.0,D,PERIODIC,-111.0,-13.0,4.0,P19aug
"
2022.08.19_15.34.54",7.069469000000001,43.615145,5G,5G,-114.0,-3.0,7.0,12.0,-,669.0,258.0,173.0,173.0,D,PERIODIC,-111.0,-9.0,12.0,P19aug
"
2022.08.19_15.34.55",7.069469000000001,43.615145,5G,5G,-112.0,-3.0,7.0,12.0,-,13901.0,275.0,173.0,173.0,D,PERIODIC,-111.0,-9.0,12.0,P19aug
"
2022.08.19_15.34.56",7.069469000000001,43.615145,5G,5G,-112.0,-3.0,7.0,10.0,-,6039.0,480.0,173.0,173.0,D,PERIODIC,-111.0,-14.0,7.0,P19aug
"
2022.08.19_15.34.58",7.069469000000001,43.615145,5G,5G,-112.0,-3.0,7.0,10.0,-,96750.0,876.0,173.0,173.0,D,PERIODIC,-111.0,-14.0,7.0,P19aug
"
2022.08.19_15.34.58",7.069339,43.615118,5G,5G,-112.0,-3.0,7.0,10.0,-,96750.0,876.0,172.0,172.0,D,,-111.0,-14.0,7.0,P19aug
"
2022.08.19_15.34.58",7.069339,43.615118,5G,5G,-112.0,-3.0,7.0,6.0,-,14743.0,621.0,172.0,172.0,D,IRAT_HANDOVER_DATA_4G5G,-106.0,-8.0,2.0,P19aug
"
2022.08.19_15.34.59",7.069339,43.615118,5G,5G,-106.0,-3.0,12.0,6.0,-,27983.0,208.0,172.0,172.0,D,PERIODIC,-106.0,-8.0,2.0,P19aug
"
2022.08.19_15.35.00",7.069339,43.615118,5G,5G,-106.0,-3.0,12.0,14.0,-,59077.0,356.0,172.0,172.0,D,PERIODIC,-108.0,-13.0,-1.0,P19aug
"
2022.08.19_15.35.02",7.069339,43.615118,5G,5G,-103.0,-4.0,17.0,14.0,-,78243.0,571.0,172.0,172.0,D,PERIODIC,-108.0,-13.0,-1.0,P19aug
"
2022.08.19_15.35.03",7.069339,43.615118,5G,5G,-103.0,-4.0,17.0,14.0,-,115335.0,672.0,172.0,172.0,D,PERIODIC,-108.0,-13.0,-1.0,P19aug
"
2022.08.19_15.35.03",7.069339,43.615118,5G,5G,-111.0,-6.0,8.0,6.0,-,160488.0,908.0,172.0,172.0,D,HANDOVER_DATA_5G5G,-104.0,-12.0,-6.0,P19aug
"
2022.08.19_15.35.04",7.069339,43.615118,5G,5G,-111.0,-6.0,8.0,6.0,-,224510.0,1294.0,172.0,172.0,D,PERIODIC,-104.0,-12.0,-6.0,P19aug
"
2022.08.19_15.35.06",7.069339,43.615118,5G,5G,-111.0,-6.0,8.0,11.0,-,149137.0,793.0,172.0,172.0,D,PERIODIC,-104.0,-12.0,12.0,P19aug
"
2022.08.19_15.35.06",7.069339,43.615118,5G,5G,-112.0,-3.0,7.0,11.0,-,52.0,54.0,172.0,172.0,D,PERIODIC,-104.0,-12.0,12.0,P19aug
"
2022.08.19_15.35.07",7.069339,43.615118,5G,5G,-112.0,-3.0,7.0,7.0,-,7.0,10.0,172.0,172.0,D,PERIODIC,-108.0,-12.0,3.0,P19aug
"
2022.08.19_15.35.09",7.069339,43.615118,5G,5G,-112.0,-3.0,7.0,7.0,-,37052.0,237.0,172.0,172.0,D,PERIODIC,-108.0,-12.0,3.0,P19aug
"
2022.08.19_15.35.10",7.069339,43.615118,5G,5G,-108.0,-3.0,9.0,9.0,-,40984.0,292.0,172.0,172.0,D,PERIODIC,-107.0,-12.0,11.0,P19aug
"
2022.08.19_15.35.10",7.069339,43.615118,5G,5G,-104.0,-3.0,13.0,9.0,-,11.0,26.0,172.0,172.0,D,PERIODIC,-107.0,-12.0,11.0,P19aug
